name,j0,j1,j2,j3,j4,j5,j6,x,y,z,quat_w,quat_x,quat_y,quat_z
home,-0.00164,-1.93544,0.012452,3.082449,0.043726,0.015577,-0.31357,-0.14597,0.001757,0.066068,0.827431,0.077363,-0.54354,0.118034
ready,-0.08838,1.095805,-0.0857,1.980881,0.003716,0.047996,-0.31768,0.569855,-0.09035,-0.2239,-0.00057,-0.09326,0.994875,-0.03907
deliver_up,-2.42416,1.141499,0.015326,2.145783,-0.03044,-0.20471,-0.47951,-0.39275,-0.35303,-0.25553,-0.01315,0.815541,0.57786,-0.02823
deliver_down,-2.42518,1.19903,0.008894,2.122433,-0.02538,-0.2123,-0.48012,-0.39194,-0.34765,-0.28577,-0.00847,0.818221,0.574638,-0.01531
seat,-0.34419,1.244208,-0.08369,2.092265,-0.26631,-0.20669,-0.31789,0.480729,-0.20518,-0.30857,0.003197,-0.10365,0.994529,-0.01253
rail1,-0.23758,1.245239,-0.05395,2.139477,-0.21175,-0.22266,-0.31748,0.484935,-0.13591,-0.30874,0.012405,-0.13354,0.990962,0.002536
rail2,-0.2027,1.24619,-0.01797,2.15209,-0.2346,-0.24535,-0.33299,0.490264,-0.10093,-0.30915,0.000805,-0.17479,0.984367,0.021635
rail3,-0.12527,1.249421,-0.04255,2.190695,-0.25627,-0.31604,-0.33351,0.487094,-0.06944,-0.30906,-0.01056,-0.2178,0.975795,0.016594
rail4,-0.10022,1.250181,-4e-05,2.189417,-0.25468,-0.31446,-0.3334,0.490681,-0.03839,-0.30943,-0.01618,-0.23563,0.971056,0.035573
rail5,-0.00273,1.248986,-0.03863,2.185326,-0.25508,-0.31486,-0.33361,0.494288,-0.00774,-0.3091,-0.01217,-0.2774,0.960506,0.018018
rail6,0.024763,1.251131,0.001186,2.187797,-0.25508,-0.3147,-0.33299,0.492055,0.023697,-0.30995,-0.0145,-0.29598,0.954362,0.037101
left stile,0.119943,1.247411,0.015006,2.172117,-0.18431,-0.28932,-0.33309,0.492384,0.073561,-0.30887,-0.00969,-0.31175,0.949574,0.032001
sticky notes,-0.3046,1.27763,-0.02745,1.654569,-0.27572,0.191115,-0.33566,0.613318,-0.21431,-0.30813,0.005904,-0.14634,0.988383,-0.04059
tape,-0.2206,1.241927,0.061075,1.73391,-0.2826,0.179966,-0.33484,0.617453,-0.11556,-0.29329,0.00149,-0.20489,0.97877,0.004924
marker,-0.12067,1.248145,0.078179,1.687805,-0.26307,0.202976,-0.33535,0.641232,-0.04728,-0.29223,-0.00852,-0.24577,0.969253,0.008439
scissors,-0.0409,1.274019,0.087986,1.705616,-0.27848,0.187241,-0.33484,0.629896,0.009441,-0.31012,0.003085,-0.29302,0.955924,0.018296
right stile,0.065304,1.290281,0.062671,1.591505,-0.21744,0.247967,-0.33494,0.660946,0.065972,-0.30914,-0.00957,-0.3087,0.951109,0.001441
thumbtack1,-0.31676,1.350799,-0.07758,1.268517,-0.17348,0.468892,-0.35138,0.691683,-0.27544,-0.2991,0.003824,-0.08569,0.992904,-0.08235
thumbtack2,-0.30526,1.344663,-0.03662,1.288288,-0.17364,0.468259,-0.35046,0.695387,-0.2482,-0.29987,0.001261,-0.09525,0.993557,-0.0614
thumbtack3,-0.29375,1.337794,0.009852,1.316923,-0.17569,0.466204,-0.35087,0.696341,-0.21743,-0.30093,0.001005,-0.10733,0.993531,-0.03706
thumbtack4,-0.28214,1.330572,0.039135,1.350159,-0.18463,0.457269,-0.35046,0.693524,-0.19394,-0.30163,0.003453,-0.1211,0.992392,-0.02188
thumbtack5,-0.24211,1.325848,0.047528,1.370867,-0.18929,0.452762,-0.35015,0.695807,-0.16093,-0.30175,0.006955,-0.14444,0.989347,-0.01675
thumbtack6,-0.20971,1.321043,0.055419,1.394644,-0.21206,0.430147,-0.35015,0.696905,-0.1344,-0.30217,0.003933,-0.1727,0.984823,-0.01678
thumbtack7,-0.17724,1.314771,0.065408,1.42575,-0.21863,0.424533,-0.35046,0.692188,-0.10549,-0.30262,0.011083,-0.19405,0.980879,-0.00985
thumbtack8,-0.16132,1.31097,0.103083,1.454043,-0.26283,0.380174,-0.35231,0.692759,-0.07706,-0.30337,-0.00501,-0.22858,0.973512,-0.00028
thumbtack9,-0.36895,1.394266,0.055282,1.100887,-0.25397,0.603946,-0.36885,0.723349,-0.2757,-0.29933,-0.00567,-0.10681,0.99287,-0.05259
thumbtack10,-0.34142,1.386719,0.069513,1.130033,-0.25587,0.601732,-0.36854,0.725507,-0.24707,-0.29985,-0.00084,-0.12368,0.991416,-0.04239
thumbtack11,-0.30515,1.386746,0.073755,1.133782,-0.25753,0.599755,-0.36001,0.733533,-0.21852,-0.3006,-0.00182,-0.13865,0.989518,-0.04032
thumbtack12,-0.28185,1.374474,0.091908,1.183807,-0.27485,0.582438,-0.35703,0.729294,-0.19064,-0.30143,0.003748,-0.16021,0.986585,-0.03109
thumbtack13,-0.25705,1.367089,0.110609,1.213294,-0.27437,0.581806,-0.35447,0.72772,-0.16185,-0.30136,0.009112,-0.17461,0.984421,-0.01846
thumbtack14,-0.22074,1.361306,0.116676,1.241757,-0.2871,0.568917,-0.35385,0.727009,-0.13129,-0.30241,0.012192,-0.19986,0.979615,-0.01605
thumbtack15,-0.20621,1.355197,0.154579,1.273119,-0.31747,0.53713,-0.35477,0.726982,-0.1033,-0.30233,0.001463,-0.22642,0.974018,-0.0045
thumbtack16,-0.17984,1.356446,0.173372,1.278062,-0.32348,0.531596,-0.35447,0.729386,-0.07555,-0.3032,-0.00208,-0.24401,0.969765,0.003181