name,space,x0,x1,x2,x3,x4,x5,x6
old_ready,joint,-0.00566,0.931927,-0.04693,2.153539,0.05195,-0.00482,-0.2996
old_deliver,joint,-2.5448,1.108403,-0.07156,1.970398,0.042619,-0.01336,-0.31337
home,joint,0.000365,-1.94446,0.005154,3.07316,0.038112,-0.01676,-0.31439
ready,joint,-0.12739,1.061515,-0.04761,2.060477,-0.08373,-0.02364,-0.31861
deliver,joint,-2.25644,1.21084,-0.25369,2.16172,-0.59809,-0.41449,-0.3185
seat,joint,-0.42889,1.24114,-0.04716,2.020082,0.286396,-0.14976,-0.31121
rail1,joint,-0.27282,1.243746,-0.01158,2.131637,0.184868,-0.25207,-0.3184
rail2,joint,-0.20909,1.24676,0.012543,2.165725,0.176487,-0.26046,-0.337
rail3,joint,-0.15876,1.249203,0.058155,2.165299,0.176487,-0.26046,-0.33782
rail4,joint,-0.0806,1.252461,0.083425,2.182684,0.134342,-0.3026,-0.33659
rail5,joint,0.004712,1.252163,0.090677,2.187712,0.134658,-0.30323,-0.33392
rail6,joint,0.135794,1.249339,0.045247,2.161379,0.134974,-0.30545,-0.3371
left_stile,joint,0.2412,1.241846,0.028462,2.026133,0.286949,-0.17893,-0.3333
sticky_notes,joint,-0.33053,1.332853,-0.07234,1.372316,-0.01826,0.354002,-0.47159
marker,joint,-0.26917,1.274969,0.017971,1.521283,-0.08523,0.287661,-0.47118
spatula,joint,-0.18009,1.280833,0.025816,1.560399,-0.16865,0.204399,-0.47149
scissors,joint,-0.13111,1.290662,0.090221,1.598578,-0.2293,0.143119,-0.47293
tweezers,joint,-0.04003,1.288055,0.0946,1.56057,-0.21871,0.152607,-0.47303
tape,joint,0.049672,1.278363,0.0764,1.532106,-0.11473,0.258167,-0.46954
right_stile,joint,0.168446,1.305621,0.030058,1.501426,-0.11496,0.257614,-0.47118
thumbtack1,joint,-0.2752,1.494559,-0.05072,0.77057,0.038112,0.822024,-0.61328
thumbtack2,joint,-0.21585,1.456956,-0.03644,0.894055,-0.00608,0.710138,-0.59931
thumbtack3,joint,-0.16446,1.435453,-0.01582,0.962914,-0.02973,0.682384,-0.59705
thumbtack4,joint,-0.11482,1.431109,0.012543,0.982259,-0.03044,0.681831,-0.59684
thumbtack5,joint,-0.06128,1.415688,0.019476,1.040891,-0.05574,0.608295,-0.57701
thumbtack6,joint,-0.01669,1.413923,0.036034,1.049158,-0.05693,0.607741,-0.57711
thumbtack7,joint,0.03152,1.413109,0.043058,1.046004,-0.05677,0.607583,-0.57711
thumbtack8,joint,0.07889,1.42014,0.054598,1.025551,-0.05677,0.607583,-0.57711
thumbtack9,joint,-0.24667,1.549945,-0.04789,0.608564,-0.09899,0.704524,-0.59437
thumbtack10,joint,-0.21556,1.535881,-0.01094,0.641801,-0.01399,0.744297,-0.63188
thumbtack11,joint,-0.16749,1.519048,-0.00884,0.689695,0.006326,0.768572,-0.64955
thumbtack12,joint,-0.11614,1.501998,0.013045,0.745344,0.005535,0.765883,-0.63979
thumbtack13,joint,-0.05759,1.502269,0.016968,0.746452,-0.00324,0.756948,-0.63794
thumbtack14,joint,-0.01143,1.503138,0.029557,0.746026,-0.00332,0.756711,-0.63804
thumbtack15,joint,0.035829,1.49369,0.033571,0.776365,-0.00347,0.756711,-0.63794
thumbtack16,joint,0.07911,1.503111,0.043833,0.746623,-0.00545,0.754734,-0.63773